DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1;Crm Cd 2;Crm Cd 3;Crm Cd 4;LOCATION;Cross Street;LAT;LON
202108297;04/14/2020 12:00:00 AM;04/14/2020 12:00:00 AM;1745;21;Topanga;2143;2;624;BATTERY - SIMPLE ASSAULT;444;29;M;B;102;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;624;;;;6600    FALLBROOK                    AV;;341.883;-1.186.274
201604694;01/17/2020 12:00:00 AM;01/17/2020 12:00:00 AM;120;16;Foothill;1613;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1402 0313 0561 0416 1601 0444 0913;47;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);311;HAMMER;AA;Adult Arrest;230;998;;;VAN NUYS;GLENOAKS;342.737;-1.184.117
202016347;10/25/2020 12:00:00 AM;10/25/2020 12:00:00 AM;300;20;Olympic;2088;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);1822 0329;57;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;740;;;;1800 S  WESTMORELAND                 AV;;340.406;-1.182.896
201320886;12/06/2020 0:00;12/05/2020 0:00;1700;13;Newton;1313;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;1000 E  20TH                         ST;;340.255;-1.182.552
202010165;05/26/2020 12:00:00 AM;05/26/2020 12:00:00 AM;100;20;Olympic;2031;1;510;VEHICLE - STOLEN;;0;;;108;PARKING LOT;;;IC;Invest Cont;510;;;;3900 W  8TH                          ST;;340.599;-1.183.139
201904547;01/13/2020 12:00:00 AM;01/12/2020 0:00;1820;19;Mission;1983;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0344 2032;34;F;H;402;MARKET;;;IC;Invest Cont;440;;;;15000    ROSCOE                       BL;;342.249;-1.184.637
201808306;03/16/2020 12:00:00 AM;03/16/2020 12:00:00 AM;1700;18;Southeast;1864;1;330;BURGLARY FROM VEHICLE;0354 1822 1609 1307 0344 0329;52;M;H;101;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;330;;;;800 E  120TH                        ST;;339.237;-1.182.614
201311656;05/31/2020 12:00:00 AM;05/31/2020 12:00:00 AM;630;13;Newton;1307;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;2000 0416 1813 1243 0446 0913;50;F;H;101;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626;;;;SAN PEDRO;7TH;340.407;-1.182.468
201705982;02/10/2020 0:00;02/10/2020 0:00;1;17;Devonshire;1729;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);385;29;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;331;;;;11200    AMESTOY                      AV;;34.274;-1.185.052
201911934;07/09/2020 0:00;07/08/2020 0:00;2130;19;Mission;1916;1;310;BURGLARY;1607 0344;39;M;H;721;HIGH SCHOOL;;;IC;Invest Cont;310;;;;13000    BORDEN                       AV;;343.061;-1.184.414
201604198;01/05/2020 0:00;01/04/2020 0:00;1153;16;Foothill;1643;1;350;THEFT, PERSON;0325 0344 0416 1822;65;M;H;202;LIQUOR STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;350;;;;13400    VAN NUYS                     BL;;342.643;-1.184.246
201519170;12/30/2020 12:00:00 AM;12/23/2020 12:00:00 AM;1900;15;N Hollywood;1583;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);1300 0329;75;F;W;707;GARAGE/CARPORT;;;IC;Invest Cont;740;;;;12000    WOODBRIDGE                   ST;;341.485;-1.183.954
201806778;02/18/2020 12:00:00 AM;02/14/2020 12:00:00 AM;245;18;Southeast;1801;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);0385 1300 0344 1822;0;X;X;108;PARKING LOT;;;IC;Invest Cont;331;;;;8600    DENVER                       AV;;339.601;-1.182.839
202008756;04/20/2020 12:00:00 AM;04/19/2020 12:00:00 AM;1700;20;Olympic;2074;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;NORMANDIE;WASHINGTON;34.04;-1.183.003
201815775;08/17/2020 12:00:00 AM;08/17/2020 12:00:00 AM;1410;18;Southeast;1849;2;354;THEFT OF IDENTITY;0100 0935;49;F;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;2200 E  115TH                        ST;;339.297;-1.182.335
201415208;08/09/2020 0:00;08/09/2020 0:00;2000;14;Pacific;1455;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);0329 1307;61;M;B;101;STREET;;;IC;Invest Cont;740;;;;CULVER                       BL;BRADDOCK;339.859;-118.425
202017702;11/26/2020 12:00:00 AM;11/26/2020 12:00:00 AM;2115;20;Olympic;2076;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1822 2004 1310 0334 0421 1402;35;M;H;103;ALLEY;207;OTHER KNIFE;AA;Adult Arrest;230;998;;;WESTMORELAND                 AV;18TH                         ST;340.436;-118.296
201505134;01/23/2020 12:00:00 AM;01/23/2020 12:00:00 AM;1230;15;N Hollywood;1532;2;664;BUNCO, PETTY THEFT;0344 0800;21;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;664;;;;6000    WHITSETT                     AV;;341.794;-1.184.052
202009658;05/12/2020 0:00;05/12/2020 0:00;1030;20;Olympic;2038;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER);0329 2004 1822;25;F;K;122;VEHICLE, PASSENGER/TRUCK;;;IC;Invest Cont;745;;;;WILSHIRE;VERMONT                      AV;340.618;-1.182.916
202008221;03/31/2020 12:00:00 AM;03/31/2020 12:00:00 AM;1550;20;Olympic;2071;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER);2003 0329;36;M;H;122;VEHICLE, PASSENGER/TRUCK;;;AO;Adult Other;745;;;;1500 S  WILTON                       PL;;340.454;-1.183.145
201812143;06/05/2020 0:00;06/04/2020 0:00;1615;18;Southeast;1802;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;0361 0913 0603 0432 0421 0906;51;M;H;104;DRIVEWAY;511;VERBAL THREAT;IC;Invest Cont;930;;;;200 W  88TH                         ST;;339.572;-1.182.761
